response_id,Timestamp,Q1_AgeGroup_code,Q1_AgeGroup_label,Q2_Gender_code,Q2_Gender_label,Q3_Occupation_code,occupation_normalized,occupation_detail,Q4_Nationality_code,nationality_group,nationality_detail,Q4b_AfricanCountry_normalized,Q5_VisitReason_code,Q5_VisitReason_label,Q6_Familiarity_code,Q6_Familiarity_label,Q7_HeardFrom_code,Q7_HeardFrom_label,platform_use_facebook,platform_use_instagram,platform_use_tiktok,platform_use_youtube,platform_use_whatsapp,platform_use_telegram,Q9_VisitedWebsite_code,Q9_VisitedWebsite_label,Q10_WebsiteRating,Q11a_PersRec,Q11b_Chatbot,Q11c_TrustAI,Q11d_AutoNotif,Q11e_AIRecipes,q12_chatbot,q12_personalised_rec,q12_auto_notif,q12_ai_recipes,q12_smart_search,q12_ai_promotions,q12_none,Q13_SocialAdPurchase_code,Q13_SocialAdPurchase_label,Q14_OnlineGrocery_code,Q14_OnlineGrocery_label,q15_product_showcases,q15_recipes_tutorials,q15_cultural_stories,q15_promotions_sales,q15_customer_reviews,q15_behind_the_scenes,q15_educational,q16_social_media,q16_email,q16_whatsapp_telegram,q16_sms,q16_no_comms,q17_limited_range,q17_info_hard_to_find,q17_no_online_order,q17_poor_website,q17_poor_communication,q17_language_barriers,q17_none,q17_other,Q18_Improvement
1,2026-04-16T12:56:32,c,26–35,a,Male,a,Student,,b,African,,Nigeria,a,To buy specific food products unavailable elsewhere,a,I am a regular customer (shop at least once a month),f,Google search,Daily,Daily,Never,Daily,Daily,Rarely,a,"Yes, multiple times",4,5,3,3,5,4,1,1,1,1,1,0,0,c,Sometimes,d,Occasionally,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,Steady notification about product arrivals either new or replenishment.
2,2026-04-16T14:04:03,c,26–35,b,Female,e,Unemployed,,b,African,,Zimbabwe,a,To buy specific food products unavailable elsewhere,a,I am a regular customer (shop at least once a month),d,Friend or family recommendation,Daily,A few times/month,A few times/month,Daily,Daily,A few times/month,c,No,2,4,2,4,4,1,0,1,0,0,0,0,0,c,Sometimes,d,Occasionally,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
3,2026-04-16T14:33:46,c,26–35,a,Male,d,Self-employed,,b,African,,Nigeria,a,To buy specific food products unavailable elsewhere,c,I have visited once or twice,d,Friend or family recommendation,Once a week,Daily,Once a week,Daily,Daily,A few times/month,b,"Yes, once",1,4,1,5,1,1,1,0,1,1,1,0,0,d,Rarely,d,Occasionally,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,Create a an order and delivery AI assistant in my WhatsApp that helps me place an order directly from my WhatsApp without having to go to the website. If possible turn the website to a showcase platform and orders can be made directly through WhatsApp by using WhatsApp API for AI chatbots.
4,2026-04-16T14:39:38,c,26–35,a,Male,b,Employed full-time,,b,African,,Nigeria,g,Cultural connection or nostalgia,a,I am a regular customer (shop at least once a month),d,Friend or family recommendation,Daily,Daily,Never,Once a week,Daily,Rarely,a,"Yes, multiple times",4,5,5,1,5,1,1,0,1,0,1,1,0,b,Often,a,Always,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,
5,2026-04-16T14:54:37,b,18–25,a,Male,a,Student,,b,African,,,e,Convenience of location,a,I am a regular customer (shop at least once a month),f,Google search,Several times/week,Daily,Daily,Several times/week,Daily,Once a week,a,"Yes, multiple times",4,3,,,,,0,0,0,0,1,0,0,b,Often,e,Never,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Cheap price
6,2026-04-16T14:56:48,c,26–35,b,Female,a,Student,,,African,African European,Côte d'Ivoire; Cameroon,a,To buy specific food products unavailable elsewhere,b,I am an occasional customer (shop a few times a year),e,Walking past the store,Several times/week,Several times/week,,Several times/week,Several times/week,,b,"Yes, once",1,3,4,3,5,5,0,1,1,0,1,1,0,d,Rarely,d,Occasionally,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,"I believe state the availability of their products, all and all more accurate information about the state of the products in the store."
7,2026-04-16T14:57:19,c,26–35,a,Male,b,Employed full-time,,b,African,,Republic of the Congo,a,To buy specific food products unavailable elsewhere,b,I am an occasional customer (shop a few times a year),d,Friend or family recommendation,,Daily,Daily,Daily,Daily,Once a week,a,"Yes, multiple times",4,2,1,1,2,1,0,0,1,0,0,0,0,c,Sometimes,d,Occasionally,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,Improve online ordering and delivery
8,2026-04-16T15:19:55,b,18–25,a,Male,a,Student,,b,African,,Nigeria,a,To buy specific food products unavailable elsewhere,a,I am a regular customer (shop at least once a month),d,Friend or family recommendation,,Daily,Daily,Several times/week,Daily,,a,"Yes, multiple times",5,5,4,3,5,5,1,0,0,0,0,0,0,c,Sometimes,c,About half the time,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,
9,2026-04-16T15:34:45,b,18–25,a,Male,a,Student,,b,African,,Nigeria,a,To buy specific food products unavailable elsewhere,b,I am an occasional customer (shop a few times a year),d,Friend or family recommendation,A few times/month,Daily,Daily,Once a week,Daily,Rarely,a,"Yes, multiple times",3,3,1,3,4,1,0,0,0,0,0,1,0,d,Rarely,e,Never,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
10,2026-04-16T15:49:44,c,26–35,b,Female,b,Employed full-time,,b,African,,Nigeria,a,To buy specific food products unavailable elsewhere,a,I am a regular customer (shop at least once a month),d,Friend or family recommendation,Once a week,Daily,Once a week,Several times/week,Several times/week,Once a week,b,"Yes, once",4,3,3,3,3,3,1,0,0,0,0,0,0,c,Sometimes,e,Never,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
